"Year","StateAbbr","StateDesc","CountyName","CountyFIPS","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","TotalPop18plus","Geolocation","LocationID","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text"
"2023","IL","Illinois","Cook","17031","17031650200","BRFSS","Health Outcomes","Chronic obstructive pulmonary disease among adults","%","Crude prevalence","4.3",,,"3.6","5.0","7,251","5,373","POINT (-87.7302252 41.7822221)","17031650200","HLTHOUT","COPD","CrdPrv","COPD"
"2023","IL","Illinois","Cook","17031","17031310500","BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence","34.1",,,"30.4","37.8","1,399","1,195","POINT (-87.65474 41.855248)","17031310500","HLTHOUT","OBESITY","CrdPrv","Obesity"
"2023","IL","Illinois","Cook","17031","17031611400","BRFSS","Health Outcomes","Depression among adults","%","Crude prevalence","20.5",,,"18.1","23.1","3,737","2,608","POINT (-87.6721661 41.8048929)","17031611400","HLTHOUT","DEPRESSION","CrdPrv","Depression"
"2023","IL","Illinois","Cook","17031","17031700401","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","11.0",,,"9.7","12.1","5,822","4,459","POINT (-87.7120355 41.7455372)","17031700401","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","IL","Illinois","Cook","17031","17031220901","BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence","33.4",,,"29.7","37.0","2,903","2,213","POINT (-87.7212483 41.9191816)","17031220901","HLTHOUT","OBESITY","CrdPrv","Obesity"
"2023","IL","Illinois","Cook","17031","17031210900","BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence","28.0",,,"24.8","31.3","3,170","2,630","POINT (-87.6931182 41.9348372)","17031210900","HLTHOUT","OBESITY","CrdPrv","Obesity"
"2023","IL","Illinois","Cook","17031","17031680500","BRFSS","Health Status","Frequent mental distress among adults","%","Crude prevalence","21.6",,,"19.3","23.9","1,307","942","POINT (-87.6523524 41.7905639)","17031680500","HLTHSTAT","MHLTH","CrdPrv","Frequent Mental Distress"
"2023","IL","Illinois","Cook","17031","17031671900","BRFSS","Health Outcomes","Depression among adults","%","Crude prevalence","16.9",,,"14.8","19.0","1,122","872","POINT (-87.6612802 41.7613256)","17031671900","HLTHOUT","DEPRESSION","CrdPrv","Depression"
"2023","IL","Illinois","Cook","17031","17031710600","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","13.7",,,"12.1","15.3","1,706","1,310","POINT (-87.6609434 41.74766)","17031710600","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","IL","Illinois","Cook","17031","17031460301","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","12.5",,,"11.2","13.8","2,987","2,260","POINT (-87.5563673 41.7400264)","17031460301","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","IL","Illinois","Cook","17031","17031611800","BRFSS","Health Outcomes","Chronic obstructive pulmonary disease among adults","%","Crude prevalence","6.1",,,"5.3","7.0","2,205","1,560","POINT (-87.6671138 41.7976477)","17031611800","HLTHOUT","COPD","CrdPrv","COPD"
